algo	training_input	ontology	episodes_to_convergence_mean	episodes_to_convergence_std	episodes_to_convergence_count	cumulative_reward_shared_mean	cumulative_reward_shared_std	cumulative_reward_shared_count	early_phase_shared_per_step_mean	early_phase_shared_per_step_std	early_phase_shared_per_step_count	policy_optimality_ratio_mean	policy_optimality_ratio_std	policy_optimality_ratio_count	final_train_shared_per_step_mean	final_train_shared_per_step_std	final_train_shared_per_step_count	policy_shared_per_step_mean	policy_shared_per_step_std	policy_shared_per_step_count	baseline_shared_per_step_mean	baseline_shared_per_step_std	baseline_shared_per_step_count	oracle_shared_per_step_mean	oracle_shared_per_step_std	oracle_shared_per_step_count	optimality_gap_per_step_mean	optimality_gap_per_step_std	optimality_gap_per_step_count
DDPG	combined	combined	27.4	18.105247858010674	5	-66997.73435	5639.829055858698	5	-0.572021961	0.006962345	5	-21.41986889	3.312736976798868	5	-0.672419148	0.096268144	5	-0.68579104	0.1012999249294665	5	-0.030794545	0	5	-0.000215633	0	5	0.685575407	0.1012999249294665	5
DDPG	combined	none	61.4	17.096783323186852	5	-13085.58694	104.1557415918746	5	-0.257279669	0.00867604	5	0.406953873	0.052167137038679784	5	-0.11597321	0.00348036	5	-0.0183504	0.001595218	5	-0.030794639	0	5	-0.000215659	0	5	0.018134742	0.001595218	5
PPO	combined	combined	10	0	5	-65997.7373	590.6739232778988	5	-0.562389335	0.050404154048141685	5	-23.88086279	0.4323157717601427	5	-0.682783097	0.007813217	5	-0.727125857	0.012630662720219402	5	-0.029415657	0	5	-0.000199378	0	5	0.7269264788432824	0.012630662720219402	5
PPO	combined	none	14.8	3.633180425	5	-22669.33182	300.8680824967477	5	-0.359651326	0.076645991	5	-5.608188373	2.4031712962754628	5	-0.190696059	0.015220254007156993	5	-0.193266226	0.070211787	5	-0.029415681	0	5	-0.000199386	0	5	0.19306684008012076	0.070211787	5
