episode,train_return,train_shared_return,train_shared_per_step,train_steps,eval_shared_return,eval_shared_per_step,eval_steps
29,778.0,-288.33782707882153,-0.28833782707882155,1000,-254.37765531268445,-0.25437765531268447,1000
30,818.0,-301.06334009001847,-0.30106334009001845,1000,-265.24553670709696,-0.26524553670709694,1000
31,760.0,-264.6729032971997,-0.26467290329719967,1000,-244.6605277068559,-0.2446605277068559,1000
32,862.0,-307.9921490238941,-0.3079921490238941,1000,-455.24931781886943,-0.4552493178188694,1000
33,622.0,-441.70029285085707,-0.44170029285085705,1000,-497.84882877397297,-0.49784882877397296,1000
34,432.0,-520.1777644835337,-0.5201777644835337,1000,-541.6959716437461,-0.5416959716437462,1000
35,196.0,-560.0398281252288,-0.5600398281252288,1000,-549.4517806202903,-0.5494517806202903,1000
36,294.0,-527.8367386473867,-0.5278367386473867,1000,-555.4087337566357,-0.5554087337566357,1000
37,308.0,-527.5339913463631,-0.5275339913463631,1000,-557.3314149675228,-0.5573314149675228,1000
38,328.0,-555.1437201397131,-0.5551437201397131,1000,-585.6156086863662,-0.5856156086863662,1000
39,254.0,-533.4534571085703,-0.5334534571085703,1000,-569.2872920145489,-0.569287292014549,1000
40,322.0,-568.531724256258,-0.568531724256258,1000,-573.6072467249244,-0.5736072467249244,1000
41,136.0,-592.0743453732939,-0.592074345373294,1000,-581.5133255779373,-0.5815133255779373,1000
42,356.0,-535.6900050084519,-0.5356900050084519,1000,-577.4687868008917,-0.5774687868008918,1000
43,314.0,-567.4823146656862,-0.5674823146656862,1000,-592.2605452988468,-0.5922605452988468,1000
44,518.0,-556.0647392856122,-0.5560647392856122,1000,-594.4730508153432,-0.5944730508153432,1000
45,292.0,-591.8913305596823,-0.5918913305596822,1000,-597.0064260890676,-0.5970064260890676,1000
46,384.0,-577.0982032292146,-0.5770982032292146,1000,-595.9217812624206,-0.5959217812624206,1000
47,520.0,-571.0246738904592,-0.5710246738904592,1000,-603.000817241623,-0.603000817241623,1000
48,372.0,-584.4063433295729,-0.5844063433295729,1000,-602.4172728969148,-0.6024172728969148,1000
49,494.0,-557.9459605839859,-0.5579459605839859,1000,-588.4832312309916,-0.5884832312309916,1000
50,388.0,-563.3265094505872,-0.5633265094505872,1000,-617.9075050611899,-0.6179075050611899,1000
51,468.0,-569.153982149948,-0.569153982149948,1000,-601.4044453972226,-0.6014044453972226,1000
52,424.0,-564.1421885352588,-0.5641421885352588,1000,-598.9689216751104,-0.5989689216751104,1000
53,446.0,-597.235180322354,-0.597235180322354,1000,-569.7186250468319,-0.5697186250468319,1000
54,502.0,-554.5861414228103,-0.5545861414228104,1000,-534.8683759643206,-0.5348683759643207,1000
55,682.0,-477.3329471412485,-0.4773329471412485,1000,-535.5478214035122,-0.5355478214035122,1000
56,618.0,-537.5718140357092,-0.5375718140357092,1000,-571.7910030904749,-0.5717910030904749,1000
57,500.0,-513.2100617921338,-0.5132100617921338,1000,-587.2194579781226,-0.5872194579781226,1000
58,488.0,-549.6523688157417,-0.5496523688157418,1000,-595.3705737672807,-0.5953705737672806,1000
59,584.0,-514.9330906322726,-0.5149330906322727,1000,-553.8080879468256,-0.5538080879468256,1000
60,690.0,-495.5403278665003,-0.4955403278665003,1000,-560.3261817324207,-0.5603261817324207,1000
61,646.0,-497.7402404706347,-0.4977402404706347,1000,-573.8067732452544,-0.5738067732452543,1000
62,526.0,-536.8410653181942,-0.5368410653181942,1000,-595.5515121621075,-0.5955515121621076,1000
63,534.0,-535.3774839696418,-0.5353774839696418,1000,-509.31428635130396,-0.5093142863513039,1000
64,816.0,-464.34492695790635,-0.46434492695790636,1000,-518.1257999826116,-0.5181257999826117,1000
65,746.0,-500.33778186367584,-0.5003377818636758,1000,-533.819852017306,-0.533819852017306,1000
66,668.0,-490.2902895716714,-0.49029028957167137,1000,-512.102981644204,-0.512102981644204,1000
67,774.0,-466.75628839027877,-0.4667562883902788,1000,-558.0273076863842,-0.5580273076863842,1000
68,642.0,-522.6886524920062,-0.5226886524920062,1000,-573.5872689542746,-0.5735872689542746,1000
69,426.0,-557.9137941442527,-0.5579137941442527,1000,-608.7486157842549,-0.6087486157842549,1000
70,482.0,-560.7730079575751,-0.5607730079575751,1000,-586.47878338961,-0.58647878338961,1000
71,494.0,-576.1238288548656,-0.5761238288548656,1000,-608.4531438435838,-0.6084531438435838,1000
72,532.0,-507.78613811058125,-0.5077861381105813,1000,-595.3013575993541,-0.5953013575993541,1000
73,622.0,-553.6389316436043,-0.5536389316436043,1000,-577.2820580949506,-0.5772820580949506,1000
74,648.0,-551.2265999606645,-0.5512265999606646,1000,-573.4092547218636,-0.5734092547218635,1000
75,644.0,-541.3423393165298,-0.5413423393165298,1000,-598.629090588961,-0.5986290905889611,1000
76,780.0,-453.4347419441645,-0.4534347419441645,1000,-480.3434063143949,-0.48034340631439487,1000
77,854.0,-459.39632162804145,-0.45939632162804145,1000,-514.4926181889533,-0.5144926181889533,1000
78,680.0,-507.03303065172037,-0.5070330306517203,1000,-486.83850906461925,-0.48683850906461923,1000
79,858.0,-459.7706252105721,-0.4597706252105721,1000,-478.07899786992994,-0.4780789978699299,1000
80,840.0,-447.38554667096423,-0.44738554667096425,1000,-459.7943209797116,-0.45979432097971157,1000
81,678.0,-493.2045822171449,-0.4932045822171449,1000,-486.9124927349519,-0.4869124927349519,1000
82,810.0,-425.67753398705173,-0.4256775339870517,1000,-415.2260274442959,-0.4152260274442959,1000
83,830.0,-432.12754292050323,-0.4321275429205032,1000,-459.8587129355508,-0.4598587129355508,1000
84,818.0,-436.41997784088505,-0.43641997784088504,1000,-438.22214985463296,-0.438222149854633,1000
85,808.0,-412.5461196728685,-0.41254611967286847,1000,-418.1634735934053,-0.4181634735934053,1000
86,814.0,-422.2589284485192,-0.4222589284485192,1000,-419.1256319187609,-0.4191256319187609,1000
87,796.0,-398.1600151110281,-0.3981600151110281,1000,-428.64385749619345,-0.42864385749619344,1000
88,802.0,-428.08972217265466,-0.4280897221726547,1000,-456.37396019055467,-0.45637396019055465,1000
89,796.0,-426.31901113416126,-0.42631901113416126,1000,-454.7361657002057,-0.4547361657002057,1000
90,704.0,-485.9105453054001,-0.48591054530540007,1000,-427.45465976441227,-0.42745465976441227,1000
91,764.0,-437.2396468545718,-0.4372396468545718,1000,-444.3464114850839,-0.44434641148508386,1000
92,798.0,-422.49782467051625,-0.4224978246705163,1000,-391.1554755700859,-0.3911554755700859,1000
93,770.0,-444.31728547697475,-0.44431728547697474,1000,-457.17939075107455,-0.45717939075107455,1000
94,838.0,-373.79148849279306,-0.3737914884927931,1000,-353.88116336867887,-0.35388116336867886,1000
95,970.0,-369.4551056835379,-0.3694551056835379,1000,-353.8569666061994,-0.3538569666061994,1000
96,946.0,-345.81563144005867,-0.34581563144005867,1000,-355.2931552963212,-0.35529315529632116,1000
97,954.0,-346.50514393588264,-0.34650514393588266,1000,-355.25642397772947,-0.3552564239777295,1000
98,932.0,-344.7622579254291,-0.3447622579254291,1000,-359.3593760462616,-0.3593593760462616,1000
99,926.0,-339.3372970523172,-0.3393372970523172,1000,-363.0302739213823,-0.36303027392138226,1000
100,910.0,-357.2072123019202,-0.3572072123019202,1000,-364.2286731233325,-0.3642286731233325,1000
